epoch;accuracy;loss;val_accuracy;val_loss
0;0.59855717420578;1.1985931396484375;0.8614285588264465;42.929908752441406
1;0.8349871039390564;0.5157108902931213;0.9426190257072449;20.22884750366211
2;0.9026764631271362;0.30917301774024963;0.9640476107597351;15.114936828613281
3;0.9297361373901367;0.2199210524559021;0.970714271068573;12.846135139465332
4;0.9449688792228699;0.17307037115097046;0.9730952382087708;12.5451078414917
5;0.9531216621398926;0.1480681300163269;0.977142870426178;9.915502548217773
6;0.9590753316879272;0.12864412367343903;0.9788095355033875;10.341842651367188
7;0.9629371166229248;0.11891786754131317;0.9840475916862488;8.05700969696045
8;0.9673353433609009;0.10260023921728134;0.9847618937492371;6.665252685546875
9;0.9706876277923584;0.09316710382699966;0.9847618937492371;7.41039514541626
10;0.9720017313957214;0.08787284046411514;0.9854761958122253;6.669698238372803
11;0.9737449288368225;0.08335381746292114;0.9871428608894348;6.266883373260498
